采集时间,航班号,高度(米),速度(米/秒),航向(度),经度,纬度,是否地面,ICAO24
2026-04-03 13:23:25,CES5112,4785.36,189.19,172.97,117.0611,40.1628,False,780ca9
2026-04-03 13:23:25,KAL908,10096.5,271.78,96.41,116.222,40.376,False,71c011
2026-04-03 13:23:25,CCA2809,8061.96,229.83,345.75,116.5867,40.7172,False,780762
2026-04-03 13:23:25,CCA1843,4747.26,162.85,190.74,117.0035,40.0137,False,78096d
2026-04-03 13:23:25,KLM896,9174.48,261.11,348.87,116.5728,40.772,False,484369
2026-04-03 13:23:25,CCA1282,3589.02,159.53,91.48,116.4878,40.4228,False,781326
2026-04-03 13:23:25,CCA782,3596.64,155.38,90.76,116.1958,40.427,False,7812e0
2026-04-03 13:23:25,未知,1981.2,128.57,352.87,116.5731,40.2291,False,780cbd
2026-04-03 13:23:25,QDA6241,9479.28,246.53,5.51,116.9064,40.711,False,780fc8
2026-04-03 13:23:25,CCA4138,4373.88,161.64,239.6,116.2866,40.1437,False,780fde
2026-04-03 05:58:22,CCA8192,6004.56,201.23,91.61,116.8562,40.415,False,781f2b
2026-04-03 05:58:22,CSN8460,10698.48,227.52,351.16,116.8094,40.0271,False,780af2
2026-04-03 05:58:22,未知,2186.94,123.61,352.11,116.5558,40.3304,False,780cb8
2026-04-03 05:58:22,ETH672,10088.88,216.22,169.3,116.7948,40.0952,False,040133
2026-04-03 05:58:22,CCA1241,4335.78,181.86,3.08,116.5513,40.569,False,78165c
2026-04-03 05:58:22,CCA1541,4587.24,172.52,185.13,116.8486,40.1768,False,782361
2026-04-03 05:58:22,CES591,10393.68,241.4,351.42,116.8134,40.0052,False,781335
2026-04-03 05:58:22,MFX550,9174.48,231.66,351.19,116.8034,40.0555,False,507c98
2026-04-03 06:10:09,GCR6499,8107.68,222.93,2.25,116.8036,40.7901,False,780c6e
2026-04-03 06:10:09,CCA933,4023.36,179.27,2.96,116.5516,40.5721,False,7813c1
2026-04-03 06:10:09,未知,2819.4,143.9,173.64,116.6824,40.4102,False,781553
2026-04-03 06:10:09,CES787,10393.68,250.35,352.09,116.8175,39.9863,False,781581
2026-04-03 06:10:09,CES2173,10683.24,218.64,351.2,116.8115,40.0152,False,782198
2026-04-03 06:10:09,CCA937,3627.12,182.02,356.11,116.5513,40.5666,False,78115f
2026-04-03 06:10:09,CSN3771,8869.68,242.33,354.64,116.7532,40.3112,False,780ccb
2026-04-03 06:10:09,UZB528,11612.88,244.26,351.03,116.7594,40.2744,False,507c4d
2026-04-03 14:29:29,CCA991,4777.74,196.22,147.31,117.1495,40.1334,False,7809aa
2026-04-03 14:29:29,RAM231,6027.42,208.92,318.89,116.7698,40.6012,False,02013e
2026-04-03 14:29:29,CSN6933,7498.08,210.67,133.71,117.0233,40.0062,False,780d40
2026-04-03 14:29:29,KAL955,9166.86,238.54,331.11,116.8019,40.2555,False,71c081
2026-04-03 14:29:29,CHH7707,3482.34,168.56,237.72,116.3741,40.2159,False,7816b3
2026-04-03 14:29:29,CHH7061,9479.28,246.99,5.38,116.8008,40.7492,False,780459
2026-04-03 14:29:29,CES5065,10393.68,234.48,348.1,116.7485,40.3228,False,7807d5
2026-04-03 14:29:29,CSN6315,9776.46,200.23,235.04,116.3214,40.3309,False,782160
2026-04-03 14:29:29,CCA909,2125.98,118.17,353,116.5695,40.2496,False,78103d
2026-04-03 14:29:29,CCA1290,3093.72,155.91,91.13,116.4612,40.4232,False,7822d6
2026-04-03 14:29:29,CDG2126,2156.46,139.92,41.72,116.5957,40.2432,False,780f69
2026-04-03 14:29:29,CSN6912,5692.14,197.49,339.25,116.8854,40.1355,False,780fd3
